t,gigalitres,temp
Q1 1990,320.4,-10.13333333
Q2 1990,127.7,10.23333333
Q3 1990,52.1,17.7
Q4 1990,255.9,-5.133333333
Q1 1991,307,-11.4
Q2 1991,78.9,13.6
Q3 1991,50.4,17.53333333
Q4 1991,258.4,-5.866666667
Q1 1992,274.6,-8.633333333
Q2 1992,87.5,9.966666667
Q3 1992,60.3,14.43333333
Q4 1992,247.3,-5.4
Q1 1993,300.8,-12.36666667
Q2 1993,85.7,10.33333333
Q3 1993,56.4,15.26666667
Q4 1993,246.7,-5.1
Q1 1994,335.1,-14.43333333
Q2 1994,93.7,11.4
Q3 1994,44.4,16.33333333
Q4 1994,204.6,-1.466666667
Q1 1995,300.8,-12.46666667
Q2 1995,102.9,10.4
Q3 1995,46.9,17.33333333
Q4 1995,255.8,-7.466666667
Q1 1996,346.4,-16.93333333
Q2 1996,111.4,8.766666667
Q3 1996,48.3,17.06666667
Q4 1996,270.9,-8.333333333
Q1 1997,321,-14.8
Q2 1997,110.6,8.7
Q3 1997,44.3,17.2
Q4 1997,225.7,-1.966666667
Q1 1998,270.8,-8.233333333
Q2 1998,74.9,11.93333333
Q3 1998,42.5,18
Q4 1998,221.8,-3.1
Q1 1999,287.8,-9.366666667
Q2 1999,82.7,11.63333333
Q3 1999,48.3,16.16666667
Q4 1999,211.2,-1.266666667
Q1 2000,283.5,-8.766666667
Q2 2000,87.8,9.833333333
Q3 2000,47.5,16.6
Q4 2000,252.8,-6.966666667
Q1 2001,301.5,-12.36666667
Q2 2001,81.7,11.33333333
Q3 2001,39.7,17.8
Q4 2001,179.4,-1.766666667
