Q,P
7.074522853,6.8046
7.238398643,6.7255
7.478258919,6.5522
7.728385661,6.5058
7.815430119,6.6752
7.907407671,6.7781
7.815430119,6.8046
7.71217308,6.8046
7.606476078,6.9727
7.374292755,7.0618
7.303838267,6.9442
7.268136999,7.002
7.223213955,7.0315
7.205178474,7.0315
7.119944995,7.1872
6.955968027,7.3891
6.895713592,7.4611
6.869559604,7.4977
6.847612148,7.4977
6.968500045,7.4611
7.159928537,7.4611
7.190063476,7.4611
7.196537445,7.4246
7.027984747,7.4611
6.981054641,7.611
7.077353228,7.6898
7.132772437,7.6898
7.177850751,7.611
7.184313725,7.4977
7.356615673,7.5723
7.389056099,7.3891
7.318460561,7.4246
7.208061122,7.4246
7.024471633,7.3891
6.911591986,7.3537
6.779477269,7.3537
6.747013753,7.3192
6.779477269,7.2522
6.610108049,7.3192
6.016465737,7.2856
5.838068466,7.7819
5.939945748,7.7477
5.920376234,7.6454
6.016465737,7.5799
5.982269434,7.6454
6.521471235,6.9901
5.96136809,7.3441
4.990319821,9.0993
4.565371999,9.6794
5.213753303,9.4216
5.07689574,9.5515
4.660394028,9.9622
4.446867875,10.722
4.308543879,11.1395
4.284911935,11.1128
4.231260757,11.1128
4.064537661,11.4352
4.051551929,11.3407
3.974106727,11.3702
3.96775324,11.4307
3.806080807,11.6488
3.678849252,11.9867
3.522602278,12.1314
3.537782081,12.2411
3.507487608,12.2032
3.499779617,12.1314
3.583356747,11.9867
3.634966882,11.747
3.56833821,11.6814
